LOCATION_ID,LAT,LON,LOCATION,TOTAL_CARS,AREA_CODE
4085,43.654763291,-79.477800137,COLBECK ST AT RUNNYMEDE RD,9702,SO
4086,43.6445519973412,-79.5672499997767,BURNHAMTHORPE RD AT THE WEST MALL (PX 875),100555,WE
4087,43.650378297,-79.542182661,BOTFIELD AVE AT BURNHAMTHORPE RD,14707,WE
4089,43.675357653,-79.404788792,DUPONT ST AT HURON ST,21001,SO
4091,43.7719450006866,-79.2619059974406,BRIMLEY RD AT GOLDEN GATE CT & OMNI DR (PX 1826),35440,EA
4092,43.6715569977589,-79.4483029959086,DAVENPORT RD AT LANSDOWNE AVE (PX 389),58663,SO
4093,43.7572180016665,-79.4750799987151,CHESSWOOD DR AT STEEPROCK DR (PX 1513),8290,NO
4097,43.6717810003351,-79.4711239939823,GUNNS RD AT ST CLAIR AVE (PX 1404),38302,SO
4098,43.6747219990465,-79.4576469995474,LAUGHTON AVE AT ST CLAIR AVE (PX 1087),25201,SO
4099,43.6789459994473,-79.438598002125,GLENHOLME AVE AT ST CLAIR AVE (PX 1712),11927,SO
4101,43.6729899993563,-79.4409959940589,DAVENPORT RD AT DUFFERIN ST (PX 388),53376,SO
4102,43.716155924,-79.455199876,DANE AVE AT DUFFERIN ST,33232,NO
4103,43.6779610011606,-79.4430809975772,DUFFERIN ST AT ST CLAIR AVE (PX 488),65765,SO
4105,43.7182570013118,-79.455680005994,DUFFERIN ST AT SAMOR RD (PX 1792),16351,NO
4106,43.7688519967857,-79.4669269987184,DUFFERIN ST AT FINCH AVE (PX 618),113432,NO
4107,43.7872830028875,-79.4700890033715,DUFFERIN ST AT STEELES AVE (PX 619),195593,NO
4109,43.7654209967952,-79.2489580019758,BRIMORTON DR AT MCCOWAN RD (PX 951),17390,EA
4110,43.7555479956993,-79.2454219966729,LAWRENCE AVE AT MCCOWAN RD (PX 380),86493,EA
4112,43.7853810043749,-79.2564749942351,CHANNEL NINE CRT AT MCCOWAN RD & MILNER AVE (PX 1175),31193,EA
4113,43.7896199985453,-79.2588379965267,MCCOWAN RD AT SHEPPARD AVE (PX 938),98979,EA
4114,43.8250800011958,-79.2751400030519,MCCOWAN RD AT 210M S OF ALTON TOWERS CIR N PED TCS (PX 1711),22463,EA
4115,43.779684996401,-79.2512379949791,CONSILIUM PL AT CORPORATE DR (PX 1501),17354,EA
4117,43.7074729970241,-79.3436250025741,OVERLEA BLVD AT THORNCLIFFE PARK DR E (PX 679),69207,SO
4118,43.7070300019873,-79.3456599973649,OVERLEA BLVD #42 AT EAST YORK TOWN CENTRE (PX 1834),34823,SO
4119,43.7674520013201,-79.2391650051201,BELLAMY RD N AT BRIMORTON DR (PX 1017),11490,EA
4120,43.6986849981612,-79.4364610042331,EGLINTON AVE AT W R ALLEN RD W TCS (PX 772),47051,WE
4121,43.6989899961028,-79.4350329972575,EGLINTON AVE AT W R ALLEN RD E TCS (PX 1307),49607,WE
4122,43.7502509974056,-79.4633900003183,SHEPPARD AVE AT W R ALLEN RD (PX 1407),157156,NO
4123,43.761042000483,-79.4652109941606,DUFFERIN ST AT OVERBROOK PL & STEEPROCK DR (PX 1234),53272,NO
4124,43.6420420018132,-79.411969996084,KING ST AT STRACHAN AVE (PX 538),21189,SO
4125,43.6453660033522,-79.4131969964769,QUEEN ST AT STRACHAN AVE (PX 1332),9485,SO
4126,43.7256510009606,-79.2975149974673,EGLINTON AVE AT PHARMACY AVE (PX 452),29064,EA
4127,43.7355820030661,-79.2531899982373,EGLINTON AVE AT FALMOUTH AVE & GILDER DR (PX 217),31943,EA
4128,43.7402600020082,-79.2320530035391,BELLAMY RD N AT EGLINTON AVE E / GO STATION (PX 191),29093,EA
